0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
6504540	Shorba Family Restaurant	1	Pune	35-39/1, 2A, Amrut Ganga, Goel Ganga, Opposite Indian Hume Pipe Factory, Manikbaug, DP Road, Sinhgad Road, Pune	Sinhgad Road	Sinhgad Road, Pune	73.8237975910	18.4704106847	North Indian, Chinese, Asian, Continental	1200	Rs.	0	1	0	0	3	3.7	9ACD32	Good	483
18315310	Annie's Kitchen	1	Pune	Shop 38A, Ganga Bhagyoday, Near ICICI Bank, Manik Baug, Sinhgad Road, Pune	Sinhgad Road	Sinhgad Road, Pune	73.8222734258	18.4702577241	North Indian, Chinese, Mughlai	750	Rs.	0	1	0	0	2	3.6	9ACD32	Good	469
11626	Brahma Garden	1	Pune	Vishal Height, Manikbaug, Sinhgad Road, Pune	Sinhgad Road	Sinhgad Road, Pune	73.8220018521	18.4739042540	South Indian, North Indian, Street Food, Chinese	500	Rs.	0	0	0	0	2	3.6	9ACD32	Good	388
18465897	Bedi's Naan House	1	Pune	Opposite MBS Sinhgad College, Sinhgad Road, Pune	Sinhgad Road	Sinhgad Road, Pune	73.8350383937	18.4652633756	North Indian, Street Food	400	Rs.	0	1	0	0	1	3.1	CDD614	Average	474
18502353	Fun N Food	1	Pune	Shop 3, Sada Shivam Heights, Near Sinhgad Cricket Ground, Wadgaon Budruk, Sinhgad Road, Pune	Sinhgad Road	Sinhgad Road, Pune	73.8317868859	18.4694076934	North Indian	400	Rs.	0	1	0	0	1	3.0	CDD614	Average	398
18569092	Barometer	1	Pune	Shop 2, Chintamani Pride, City Pride Road, Paschimanagri, Kothrud, Pune	Kothrud	Kothrud, Pune	73.8191955909	18.4987327485	Continental, Asian, Italian, Indian	1500	Rs.	0	1	1	0	3	4.5	3F7E00	Excellent	1142
18528478	La Gustosa	1	Pune	Survey 1/3 4, Behind Karve Putla, Shivaji Putla Road, Beside DNS Bank, Kothrud, Pune	Kothrud	Kothrud, Pune	73.8146814331	18.5020950646	Italian	1200	Rs.	0	0	0	0	3	4.5	3F7E00	Excellent	1484
6503864	PK Biryani House	1	Pune	Rajaram Bridge, Tathawade Garden, 100 D.P. Road, Karve Nagar, Pune	Karve Nagar	Karve Nagar, Pune	73.8285578415	18.4923980610	Biryani, North Indian, Seafood	650	Rs.	0	1	0	0	2	3.9	9ACD32	Good	1221
18429323	Paradise Kitchen Hyderabadi Biryani	1	Pune	Shop 1/2/3, Survey 29/2, Potnis Parisar, Karve Nagar, Pune	Karve Nagar	Karve Nagar, Pune	73.8222533092	18.4965875086	Biryani, North Indian	500	Rs.	0	1	0	0	2	3.7	9ACD32	Good	903
10109	Shraddha Restaurant	1	Pune	Shahu Colony, Lane 2, Karve Nagar, Pune	Karve Nagar	Karve Nagar, Pune	73.8168691099	18.4869070459	North Indian, Chinese, South Indian	450	Rs.	0	1	0	0	1	3.4	CDD614	Average	1286
18660772	Foodsmith	1	Pune	Foodsmith, Shop number 18 Fountain head apartment Opposite Karishma Society Kothrud Pune 411038	Kothrud	Kothrud, Pune	73.8217614591	18.5021217721	Chinese, Continental, Mexican	900	Rs.	0	1	0	0	2	4.3	5BA829	Very Good	547
18770152	The Tipsy Duckling	1	Pune	Shop 2-3, Shubhankaroti Apartment, Suvarnabaug Colony, Opposite Business Hub, Karve Road, Kothrud, Pune	Kothrud	Kothrud, Pune	73.8137906045	18.4936444769	Continental, North Indian, Italian, Finger Food	1300	Rs.	0	1	0	0	3	4.3	5BA829	Very Good	204
10705	Yolkshire	1	Pune	20, Karishma Society, Off Karve Road, Kothrud, Pune	Kothrud	Kothrud, Pune	73.8215643168	18.5028501856	Fast Food, Italian, Salad	650	Rs.	0	1	1	0	2	4.3	5BA829	Very Good	1400
11321	Pruthvi Vegetarianism	1	Pune	Nyati Elegance, Happy Colony, Lane 4, Kothrud, Pune	Kothrud	Kothrud, Pune	73.8134593517	18.4945458970	North Indian, Chinese, Fast Food, Juices	500	Rs.	0	0	0	0	2	4.0	5BA829	Very Good	779
18552811	Punjab Canteen	1	Pune	E1, Kumar Parisar, Near Gandhi Bhavan, Near Mahatma Society, Kothrud, Pune	Kothrud	Kothrud, Pune	73.8022229075	18.4963153376	North Indian	700	Rs.	0	1	0	0	2	4.1	5BA829	Very Good	748
6507653	Swarnaa Vegetarian	1	Pune	Ground Floor, Choudhari Heights, Near Dhodke Tower, Pune-Bangalore Highway, Warje, Pune	Warje	Warje, Pune	73.8025544956	18.4816050557	North Indian, South Indian, Chinese, Fast Food, Beverages	550	Rs.	0	1	0	0	2	3.8	9ACD32	Good	786
6504832	Mystic Flavours	1	Pune	Shop 2/3, Spandan, Opposite Mai Mangeshkar Hospital, Popular Nagar, Warje, Pune	Warje	Warje, Pune	73.7983280048	18.4847537085	North Indian, Mughlai, Chinese, Continental, Italian	1200	Rs.	0	1	0	0	3	3.9	9ACD32	Good	531
12858	Domino's Pizza	1	Pune	2, Varad Laxmi Plaza, Opposite Cipla Foundation, New Pune Bangalore Highway, Warje, Pune	Warje	Warje, Pune	73.7953309715	18.4871849555	Pizza, Fast Food	700	Rs.	0	0	0	0	2	3.8	9ACD32	Good	424
6507225	Lavang Veg	1	Pune	Shop 2, R Cube Building, Atul Nagar, Warje, Pune	Warje	Warje, Pune	73.7963820621	18.4863038470	North Indian, Chinese, Fast Food, South Indian, Street Food, Beverages, Desserts	700	Rs.	0	1	0	0	2	3.6	9ACD32	Good	309
11670	MetroMix	1	Pune	Near Mahesh vidyalay, Kumar Parisar, 25/26. &#39E, &#39; Building, Kothrud, Pune	Kothrud	Kothrud, Pune	73.8023631000	18.4974002000	European, Chinese, Thai	1100	Rs.	0	1	0	0	3	3.7	9ACD32	Good	215
6504436	Kaveri Sea Food	1	Pune	Survey 134/1, Shri Krishna Kunj, Mumbai Banglore Highway, Warje, Pune	Warje	Warje, Pune	73.8007393107	18.4843085379	Seafood, North Indian, Chinese, Mughlai	1000	Rs.	0	1	0	0	3	3.3	CDD614	Average	186
18647056	Chaska Chavicha Adda	1	Pune	Shop A16, Kumar Parisar DP Road, Near. Mahatma Society, Kothrud, Pune	Kothrud	Kothrud, Pune	73.8022360000	18.4967780000	Fast Food, Maharashtrian	200	Rs.	0	1	1	0	1	4.1	5BA829	Very Good	54
6506020	Gavkari	1	Pune	Vihan Residency, Near Atul Nagar, Pune - Mumbai Highway, Warje, Pune	Warje	Warje, Pune	73.7972836196	18.4857105034	Maharashtrian	800	Rs.	0	1	0	0	2	3.8	9ACD32	Good	106
18536004	Culture - पुणे	1	Pune	1195/2C, Next to Tukaram Paduka Mandir, Sud Nagar, FC Road, Pune	FC Road	FC Road, Pune	73.8415041938	18.5249173246	Continental, North Indian, Italian, Mediterranean, European	1300	Rs.	0	1	0	0	3	4.1	5BA829	Very Good	2597
13231	Le Plaisir	1	Pune	Survey 759/125, Rajkamal, Opposite Kelkar Eye Hospital, Prabhat Road, Deccan Gymkhana, Pune	Deccan Gymkhana	Deccan Gymkhana, Pune	73.8384558633	18.5142077577	European, Italian, Fast Food, Salad, Continental, Beverages, Desserts	1000	Rs.	0	1	1	0	3	4.8	3F7E00	Excellent	4167
6507967	Tales & Spirits	1	Pune	Plot 64, Shivaji Housing Society, Senapati Bapat Road, Pune	Senapati Bapat Road	Senapati Bapat Road, Pune	73.8288133219	18.5308076661	Italian, Continental, Salad	1200	Rs.	0	1	0	0	3	4.3	5BA829	Very Good	3475
10011	Cafe Goodluck	1	Pune	759/75, Goodluck Chowk, Deccan Gymkhana, Pune	Deccan Gymkhana	Deccan Gymkhana, Pune	73.8416668028	18.5176851739	North Indian, Fast Food	600	Rs.	0	1	0	0	2	4.3	5BA829	Very Good	6552
18575827	Hakuna Matata	1	Pune	The Deccan Royaale Hotel, Near Sambhaji Park, JM Road, Pune	JM Road	JM Road, Pune	73.8455248252	18.5191822405	Continental, Italian, Desserts	1300	Rs.	0	1	0	0	3	4.0	5BA829	Very Good	1301
